price,rooms_count,floor,floors_count,text_len,building_year,building_age,is_completed,living_share,ceiling_height_m,is_first_floor,is_top_floor,floor_ratio,is_central,has_renovation,is_fine_finish,is_new,mat_brick,mat_monolith,mat_panel,mat_block,has_parking,has_balcony,has_furniture,bath_combined,bath_count,near_school,near_grocery,near_park,near_waterfront,near_metro,has_view,has_security,city_Казань,city_Махачкала,city_Москва,city_Пермь,city_Санкт-Петербург,city_Сочи,city_Ярославль,price_log,sqrt_total_meters
2700000.0,0.0,5,5,962,1973.0,52.0,1.0,0.3846153846153846,2.5,0,1,1.0,False,True,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,14.80876270134486,3.605551275463989
2700000.0,0.0,3,3,1284,1945.0,80.0,1.0,0.5863585802406714,2.8,0,1,1.0,False,False,False,False,True,False,False,False,False,True,False,False,1,False,False,True,False,True,True,False,True,False,False,False,False,False,False,14.80876270134486,5.138093031466052
2799999.0,0.0,1,2,125,1952.0,73.0,1.0,0.75,2.5,1,0,0.5,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14.845129975145433,4.0
2900000.0,0.0,3,4,671,1935.0,90.0,1.0,0.5863585802406714,2.8,0,0,0.75,False,True,False,False,False,False,False,False,True,True,False,False,1,False,True,True,False,True,True,False,True,False,False,False,False,False,False,14.88022163978423,3.96232255123179
2990000.0,0.0,1,5,255,1974.0,51.0,1.0,0.7142857142857143,2.55,1,0,0.2,False,True,False,False,True,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14.910784279814974,4.266145801540309
3199000.0,0.0,3,9,905,1978.0,47.0,1.0,0.5863585802406714,2.8,0,0,0.3333333333333333,False,True,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,14.978349131529294,4.06201920231798
3190000.0,0.0,3,5,349,1968.0,57.0,1.0,0.6989247311827956,2.55,0,0,0.6,False,True,False,False,False,False,False,False,False,False,True,False,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,14.975531788240602,4.312771730569565
3200000.0,0.0,3,5,897,1968.0,57.0,1.0,0.5863585802406714,2.6,0,0,0.6,False,True,False,False,True,False,False,False,False,False,False,True,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,14.978661680269907,4.277849927241488
3390000.0,0.0,9,9,1214,1981.0,44.0,1.0,0.3181818181818181,2.8,0,1,1.0,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,True,False,True,True,False,True,False,False,False,False,False,False,15.03634077434184,4.1952353926806065
3500000.0,1.0,2,5,241,1974.0,51.0,1.0,0.5635593220338982,3.0,0,0,0.4,False,False,False,False,True,False,False,False,False,False,False,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.068273812173887,4.857983120596447
3500000.0,1.0,3,9,843,1982.0,43.0,1.0,0.521531100478469,2.8,0,0,0.3333333333333333,False,True,False,False,True,False,False,False,False,True,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15.068273812173887,4.571651780264984
3530000.0,1.0,5,5,948,1977.0,48.0,1.0,0.3636363636363636,2.6,0,1,1.0,False,True,False,False,False,False,False,False,False,True,True,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,15.07680871219556,4.69041575982343
3550000.0,1.0,1,3,294,1978.0,47.0,1.0,0.3619047619047619,2.55,1,0,0.3333333333333333,False,True,False,False,False,False,False,False,False,False,True,False,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.0824584431417,5.612486080160912
3600000.0,0.0,2,2,1295,1952.0,73.0,1.0,0.5863585802406714,2.7,0,1,1.0,False,True,False,False,False,False,True,False,False,False,False,False,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,15.096444681204078,4.427188724235731
3600000.0,1.0,2,2,712,1958.0,67.0,1.0,0.6374622356495468,2.8,0,1,1.0,False,True,False,False,False,False,False,False,False,False,True,False,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,15.096444681204078,5.75325994545701
3800000.0,2.0,1,2,409,2026.0,0.0,0.0,0.7441860465116279,2.6,1,0,0.5,False,True,False,False,False,False,False,False,False,False,False,False,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,15.150511887854474,6.557438524302
4200000.0,1.0,4,9,124,1984.0,41.0,1.0,0.6557377049180327,2.7,0,0,0.4444444444444444,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,15.250595321348806,5.522680508593631
4399000.0,2.0,1,5,1236,1967.0,58.0,1.0,0.6,2.8,1,0,0.2,False,True,False,False,True,False,False,False,False,False,False,False,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,15.296888027655223,6.164414002968976
4399000.0,1.0,3,5,700,1970.0,55.0,1.0,0.576271186440678,2.48,0,0,0.6,False,False,False,False,False,False,False,False,False,False,False,True,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,15.296888027655223,5.431390245600108
4350000.0,1.0,2,2,3000,1958.0,67.0,1.0,0.6317204301075269,2.8,0,1,1.0,False,True,False,False,False,False,False,False,False,False,True,True,1,False,True,True,False,True,True,False,True,False,False,False,False,False,False,15.285686632949897,6.099180272790763
4499000.0,1.0,4,9,774,1982.0,43.0,1.0,0.5,2.8,0,0,0.4444444444444444,False,False,False,False,False,False,False,False,False,False,False,False,1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,15.3193659300949,5.385164807134504
4499999.0,1.0,3,9,932,1991.0,34.0,1.0,0.4782608695652173,2.7,0,0,0.3333333333333333,False,True,True,False,False,False,False,False,False,True,False,False,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,15.319587954740548,6.252999280345393
4500000.0,1.0,2,9,1252,1998.0,27.0,1.0,0.471830985915493,2.5,0,0,0.2222222222222222,False,True,False,False,False,False,True,False,False,True,False,True,1,False,True,False,False,True,True,False,True,False,False,False,False,False,False,15.319588176962746,5.329165037789691
4500000.0,1.0,5,5,901,1971.0,54.0,1.0,0.5766871165644172,2.7,0,1,1.0,False,True,False,False,False,False,False,False,False,True,True,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,15.319588176962746,5.709640969448079
4590000.0,1.0,1,5,488,1971.0,54.0,1.0,0.5555555555555556,2.6,1,0,0.2,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,15.339390799901627,5.366563145999495
4690000.0,1.0,4,5,1383,1959.0,66.0,1.0,0.5806451612903226,2.5,0,0,0.8,False,True,False,False,True,False,False,False,False,True,False,True,1,False,True,True,False,True,True,False,True,False,False,False,False,False,False,15.360943353642055,5.5677643628300215
4700000.0,3.0,1,2,661,1958.0,67.0,1.0,0.6890756302521008,3.0,1,0,0.5,False,True,False,False,True,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15.363073279446223,9.126883367283709
4700000.0,1.0,6,9,952,1985.0,40.0,1.0,0.4814814814814815,2.5,0,0,0.6666666666666666,False,False,False,True,True,False,False,False,False,False,False,True,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.363073279446223,5.692099788303083
4880000.0,2.0,2,3,390,1946.0,79.0,1.0,0.6142131979695431,2.8,0,0,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15.400655982747342,6.276941930590086
4900000.0,1.0,1,9,999,1977.0,48.0,1.0,0.6021126760563381,2.65,1,0,0.1111111111111111,False,True,False,False,True,False,False,False,False,False,False,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.404745967162468,5.329165037789691
4999999.0,1.0,5,5,417,1967.0,58.0,1.0,0.5939597315436241,2.6,0,1,1.0,False,True,False,False,False,False,False,False,False,False,False,False,1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,15.424948470398375,5.458937625582473
4999000.0,1.0,3,9,623,1989.0,36.0,1.0,0.6666666666666666,2.6,0,0,0.3333333333333333,False,True,False,True,True,False,False,False,False,False,False,False,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.424748650435696,6.0
4950000.0,1.0,4,5,1445,1965.0,60.0,1.0,0.5,2.6,0,0,0.8,False,True,False,False,False,False,False,False,False,False,False,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.414898336565054,5.477225575051661
5000000.0,1.0,1,5,298,1967.0,58.0,1.0,0.5131578947368421,2.55,1,0,0.2,False,True,False,False,False,False,False,False,False,False,True,False,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.424948670398354,6.164414002968976
5100000.0,1.0,9,9,1445,1994.0,31.0,1.0,0.4895104895104895,2.55,0,1,1.0,False,True,False,False,True,False,False,False,False,True,False,False,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.444751293772967,6.549809157525126
5100000.0,1.0,4,9,617,1974.0,51.0,1.0,0.7023809523809524,2.5,0,0,0.4444444444444444,False,True,False,False,False,False,False,False,False,False,True,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.444751293772967,5.796550698475776
5250000.0,1.0,1,12,530,2019.0,6.0,1.0,0.4505928853754941,2.7,1,0,0.0833333333333333,False,True,False,False,False,False,False,False,False,True,False,False,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,15.473738825043979,5.029910535983717
5650000.0,1.0,2,5,911,2001.0,24.0,1.0,0.5013333333333333,2.7,0,0,0.4,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,15.547166280113759,6.123724356957945
5690000.0,1.0,8,9,997,1998.0,27.0,1.0,0.5750708215297451,2.7,0,0,0.8888888888888888,False,True,False,False,True,False,False,False,False,False,False,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.554220981849422,5.941380311005179
5750000.0,1.0,4,5,1557,2010.0,15.0,1.0,0.5,2.5,0,0,0.8,False,True,False,False,True,False,False,False,False,True,True,False,1,False,True,True,False,False,True,False,True,False,False,False,False,False,False,15.564710586686562,5.549774770204643
5999000.0,3.0,3,3,729,1948.0,77.0,1.0,0.5940740740740741,3.0,0,1,1.0,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,15.607103513329665,8.215838362577491
5900000.0,1.0,1,12,1299,2019.0,6.0,1.0,0.4351145038167939,2.77,1,0,0.0833333333333333,False,True,False,False,True,True,False,False,False,False,False,False,1,True,False,True,False,True,True,False,True,False,False,False,False,False,False,15.59046307836746,5.118593556827891
6070000.0,1.0,13,15,1438,2001.0,24.0,1.0,0.5,2.6,0,0,0.8666666666666667,False,True,False,False,True,False,False,False,False,True,False,True,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.618869327780313,6.123724356957945
6150000.0,2.0,3,5,593,1959.0,66.0,1.0,0.6855791962174942,2.55,0,0,0.6,False,True,False,False,True,False,False,False,False,False,False,False,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,15.631962802384313,6.5038450166036395
6190000.0,2.0,4,5,935,1980.0,45.0,1.0,0.6,2.6,0,0,0.8,False,False,False,False,True,False,False,False,False,True,True,False,2,True,True,True,False,True,True,False,True,False,False,False,False,False,False,15.638445806211655,7.014271166700073
6290000.0,3.0,5,5,2334,1942.0,83.0,1.0,0.6294934548310787,2.8,0,1,1.0,False,True,False,False,True,False,False,False,False,False,False,False,2,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.654471787659123,8.35463942968217
6490000.0,2.0,10,10,320,1995.0,30.0,1.0,0.5740740740740741,2.55,0,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,15.685773242763466,7.3484692283495345
6450000.0,3.0,1,9,788,1986.0,39.0,1.0,0.5873261205564142,2.7,1,0,0.1111111111111111,False,True,False,False,False,False,True,False,False,False,False,False,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.679590843810702,8.043631020876083
6500000.0,2.0,5,10,719,1995.0,30.0,1.0,0.6367521367521368,2.7,0,0,0.5,False,True,False,False,False,False,False,False,False,True,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,15.687312888712007,6.841052550594828
6700000.0,2.0,6,10,965,1995.0,30.0,1.0,0.5235294117647059,2.7,0,0,0.6,False,True,False,False,True,False,False,False,False,True,False,False,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,15.717618233614914,7.14142842854285
6795000.0,2.0,3,5,1161,1944.0,81.0,1.0,0.6176470588235294,3.0,0,0,0.6,False,True,False,False,True,False,False,False,False,False,False,False,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.731697752734405,7.37563556583431
6800000.0,1.0,9,9,1767,1988.0,37.0,1.0,0.525,0.0,0,1,1.0,False,True,False,False,False,False,False,False,False,True,True,False,1,False,False,False,False,True,True,False,True,False,False,False,False,False,False,15.732433317205148,6.324555320336759
6930000.0,1.0,5,6,1870,2007.0,18.0,1.0,0.4658753709198812,3.0,0,0,0.8333333333333334,False,True,False,False,True,False,False,False,False,True,False,True,1,True,True,True,False,True,True,False,True,False,False,False,False,False,False,15.75137051546622,5.805170109479997
7050000.0,2.0,1,9,1579,1981.0,44.0,1.0,0.5440677966101695,2.6,1,0,0.1111111111111111,False,False,False,True,True,False,False,False,False,True,False,False,2,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.768538316632412,7.681145747868608
7200000.0,2.0,3,12,1213,1978.0,47.0,1.0,0.6361607142857143,2.8,0,0,0.25,False,False,False,False,False,False,False,False,False,True,False,False,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.789591722875162,6.6932802122726045
7299000.0,2.0,3,16,880,2012.0,13.0,1.0,0.2692307692307692,2.7,0,0,0.1875,False,False,False,False,False,False,False,False,False,False,True,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.80324804743883,7.211102550927978
7320000.0,4.0,5,9,1318,1978.0,47.0,1.0,0.6515151515151515,2.6,0,0,0.5555555555555556,False,False,False,True,False,False,False,False,False,True,False,False,2,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.806121022549506,8.12403840463596
7300000.0,2.0,4,6,835,1944.0,81.0,1.0,0.6162162162162163,2.8,0,0,0.6666666666666666,False,False,False,False,True,False,False,False,False,True,False,False,1,False,False,True,False,True,True,False,True,False,False,False,False,False,False,15.803385043104912,7.44983221287567
7350000.0,2.0,8,9,1042,1991.0,34.0,1.0,0.5348399246704331,2.7,0,0,0.8888888888888888,False,True,False,False,False,False,False,False,False,True,False,False,2,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.810211007243431,7.286974680894672
7551999.0,3.0,2,9,2261,1984.0,41.0,1.0,0.644122383252818,2.6,0,0,0.2222222222222222,False,False,False,False,False,False,False,False,False,True,True,False,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,15.837322986807473,7.880355321938218
7599000.0,1.0,4,10,1515,2010.0,15.0,1.0,0.39119804400978,2.6,0,0,0.4,False,True,False,False,False,False,False,False,False,True,True,False,1,False,True,True,False,True,True,False,True,False,False,False,False,False,False,15.843527349248175,6.395310782127793
7700000.0,3.0,3,5,824,1959.0,66.0,1.0,0.6294934548310787,2.8,0,0,0.6,False,True,False,False,True,False,False,False,False,True,False,False,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.856731016694035,7.489993324429602
7790000.0,2.0,3,5,1158,1952.0,73.0,1.0,0.6,2.8,0,0,0.6,False,True,False,False,True,False,False,False,False,False,False,False,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,15.868351546216628,7.3484692283495345
7789000.0,3.0,7,9,685,1991.0,34.0,1.0,0.2857142857142857,2.7,0,0,0.7777777777777778,False,False,False,False,False,False,False,False,False,False,False,False,2,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.868223168288264,8.366600265340756
7750000.0,3.0,5,9,908,1983.0,42.0,1.0,0.6244424620874219,2.55,0,0,0.5555555555555556,False,False,False,False,False,False,False,False,False,True,False,False,2,True,True,True,False,True,False,False,True,False,False,False,False,False,False,15.86320353036178,8.20121942152507
7850000.0,2.0,5,6,707,2000.0,25.0,1.0,0.5132743362831859,2.5,0,0,0.8333333333333334,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,15.876024217147117,7.516648189186454
7999000.0,3.0,4,5,1059,1996.0,29.0,1.0,0.6671597633136096,2.46,0,0,0.8,False,False,False,False,True,False,False,False,False,False,False,False,1,True,True,True,False,False,False,False,True,False,False,False,False,False,False,15.894827216846577,8.221921916437786
7900000.0,3.0,8,9,1001,1980.0,45.0,1.0,0.6241935483870968,2.6,0,0,0.8888888888888888,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,15.882373444019521,7.874007874011811
8000000.0,3.0,4,16,335,1984.0,41.0,1.0,0.6211180124223602,2.6,0,0,0.25,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,15.894952224644102,8.024961059095553
8500000.0,1.0,7,10,1299,2012.0,13.0,1.0,0.5,2.8,0,0,0.7,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,True,False,True,True,True,True,False,False,False,False,False,False,15.955576839107596,5.612486080160912
8620000.0,2.0,2,10,559,2011.0,14.0,1.0,0.6,2.8,0,0,0.2,False,True,False,False,False,False,False,False,False,False,False,False,1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,15.96959575864915,7.307530362578044
8550000.0,4.0,2,10,628,1991.0,34.0,1.0,0.5875,2.5,0,0,0.2,False,True,False,False,True,False,False,False,False,True,False,False,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,15.961441957872001,8.94427190999916
8850000.0,1.0,3,10,1142,2023.0,2.0,1.0,0.5,2.5,0,0,0.3,False,True,True,False,False,False,False,False,True,False,False,False,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,15.995928129978456,6.156297588648554
8864000.0,0.0,6,13,1071,1971.0,54.0,1.0,0.696969696969697,2.7,0,0,0.4615384615384615,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,15.99750880078508,5.744562646538029
8900000.0,3.0,3,10,1542,1987.0,38.0,1.0,0.6101426307448494,2.6,0,0,0.3,False,False,False,False,True,False,False,False,False,True,False,False,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,16.001561947061912,7.9435508432942
8900000.0,3.0,3,10,1424,1987.0,38.0,1.0,0.6148969889064976,2.6,0,0,0.3,False,False,False,False,True,False,False,False,False,True,False,False,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,16.001561947061912,7.9435508432942
9200000.0,2.0,2,13,1514,2019.0,6.0,1.0,0.5168539325842697,0.0,0,0,0.1538461538461538,False,True,False,False,False,False,False,False,False,True,False,False,2,False,True,True,False,True,False,False,True,False,False,False,False,False,False,16.034714150714915,6.670832032063167
9300000.0,3.0,8,10,842,2001.0,24.0,1.0,0.6439393939393939,2.7,0,0,0.8,False,True,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.04552506565036,8.12403840463596
9900000.0,3.0,2,4,946,1937.0,88.0,1.0,0.6728232189973615,2.8,0,0,0.5,False,True,True,False,False,False,False,False,False,True,True,False,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,16.108045416114916,8.706319543871567
79344400.0,3.0,3,4,2325,2027.0,-2.0,0.0,0.5341296928327645,2.85,0,0,0.75,True,False,False,False,True,False,False,False,True,False,False,False,1,False,False,True,False,False,True,True,True,False,False,False,False,False,False,18.18930844164061,10.825894882179487
